BRI,deg_removed
0,114
1,204
2,211
3,119
4,225
5,154
6,102
7,121
8,115
9,80
10,170
11,104
12,124
13,132
14,124
15,90
16,159
17,223
18,82
19,132
20,116
21,187
22,181
23,167
24,112
25,114
26,239
27,177
28,126
29,117
30,147
31,98
32,113
33,109
34,114
35,184
36,81
37,122
38,193
39,131
40,120
41,163
42,131
43,163
44,80
45,152
46,170
47,224
48,241
49,154
50,222
51,141
52,104
53,143
54,174
55,142
56,151
57,106
58,150
59,140
60,104
61,200
62,135
63,102
64,91
65,79
66,158
67,186
68,115
69,153
70,165
71,260
72,103
73,8
